0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,delay
0,0,0,0,0,0,0,0,0,0,0,-55,0,0,0,-55,0,0,0,500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250
0,0,0,0,0,0,0,0,0,0,0,-20,40,0,0,20,-40,0,0,250
0,0,0,0,0,0,0,0,0,0,0,-40,60,0,0,40,-60,0,0,250
0,0,0,0,0,0,0,0,0,0,0,-60,80,0,0,60,-80,0,0,250
0,0,0,0,0,0,0,0,0,0,0,-40,60,0,0,40,-60,0,0,250
0,0,0,0,0,0,0,0,0,0,0,-20,40,0,0,20,-40,0,0,250
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250
0,0,0,0,0,0,0,0,0,0,0,20,-40,0,0,-20,40,0,0,250
0,0,0,0,0,0,0,0,0,0,0,40,-60,0,0,-40,60,0,0,250
0,0,0,0,0,0,0,0,0,0,0,60,-80,0,0,-60,80,0,0,250
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250
